site_no,event_id,peak_date,peak_value,peak_quantile,peak2zero,drying_rate,p_value,calendar_year,season,meteorologic_year,dry_date_start,dry_date_mean,dry_dur
08052700,89,231,44,0.8663526071244192,11,1.1508681845246262,1.5172176346007322e-5,1983,Summer,1983,241,266.5,52
08052700,90,293,4.1,0.6760454310789882,9,1.053745988077644,0.004072949205427634,1983,Fall,1983,301,304.5,8
08052700,91,310,0.7,0.4690887971089313,9,0.326584190825937,0.3447154192639416,1983,Fall,1983,318,319.5,4
08052700,96,351,0.2,0.311564274651523,5,-0.6666666666666665,0.42264973081037427,1983,Fall,1983,355,357,5
08052700,97,361,0.2,0.311564274651523,23,-0.5030508711444505,0.021163534259931963,1984,Winter,1983,18,18.5,2
08052700,98,23,1.1,0.5247160557563242,14,0.6242596842251735,0.024314608840401836,1984,Winter,1983,36,36,1
08052700,101,49,0.6,0.4484383066597832,5,0.4999999999999998,0.5292890936878816,1984,Winter,1983,53,54,3
08052700,109,113,0.2,0.311564274651523,6,-0.75,0.2722284012244164,1984,Spring,1984,118,118,1
08052700,111,126,2.9,0.638939081053175,5,0.27984930213637843,0.262931956570944,1984,Spring,1984,130,213.5,168
08052700,133,169,2.6,0.626419721218379,14,0.30931111247796217,0.013465422653830576,1985,Summer,1985,182,182,1
08052700,134,185,0.5,0.4238513164687661,9,0.4847889426682704,0.22964750942714435,1985,Summer,1985,193,241,97
08052700,153,170,55,0.8793236964377904,18,0.9446050003023871,1.337787372302273e-6,1986,Summer,1986,187,203.5,34
08052700,154,222,0.3,0.356672689726381,4,-4.930542713731966e-16,0.42885706986802347,1986,Summer,1986,225,235.5,22
08052700,155,248,75,0.8955859576664946,11,1.318690175419323,3.7342493566737004e-6,1986,Summer,1986,258,264,13
08052700,157,276,22,0.8280846670108415,21,0.8180849478134073,1.1247061515420156e-10,1986,Fall,1986,296,302,13
08052700,179,183,35,0.8538977800722767,14,1.2592542415021872,1.0948312339998483e-6,1987,Summer,1987,196,200,9
08052700,180,205,1.1,0.5247160557563242,8,0.6590502821529948,0.1858709882392488,1987,Summer,1987,212,262,101
08052700,190,18,39,0.859963861641714,26,0.6325827609675025,3.7051937047726988e-6,1988,Winter,1987,43,44,3
08052700,200,94,1,0.5138745482705214,9,0.7903387967924789,0.306414904906739,1988,Spring,1988,102,104.5,6
08052700,201,108,1.7,0.5758905524006195,7,0.36248761375011357,0.8499211156497288,1988,Spring,1988,114,132.5,38
08052700,202,153,1.7,0.5758905524006195,6,0.021865710312582783,0.9929656266411953,1988,Spring,1988,158,186.5,58
08052700,203,216,20,0.8213087248322147,8,1.3363802197695023,0.018417639724347346,1988,Summer,1988,223,269.5,94
08052700,223,228,2.1,0.6028007227671657,12,0.37535168849349787,0.06523899344987485,1989,Summer,1989,239,245,13
08052700,224,254,244,0.9488255033557047,23,0.9779970459553903,6.267310911808265e-8,1989,Fall,1989,276,302.5,54
08052700,225,330,0.2,0.311564274651523,8,-0.8333333333333323,0.117386795146294,1989,Fall,1989,337,338.5,4
08052700,226,363,0.3,0.356672689726381,10,-0.20913301216600175,0.6617294042696165,1990,Winter,1989,7,10.5,8
08052700,243,154,178,0.9365642746515229,28,1.0158630971528313,1.3540865239378724e-12,1990,Summer,1990,181,186,11
08052700,249,217,104,0.9128807434176561,12,0.855011025872542,5.164210014380033e-7,1990,Summer,1990,228,254,53
08052700,284,182,1.7,0.5758905524006195,3,0.43152549296507736,NA,1991,Summer,1991,184,212.5,58
08052700,290,271,0.8,0.4879969024264326,6,0.3697742200358578,0.31210917184333353,1991,Fall,1991,276,279,7
08052700,324,180,356,0.9632163138874549,16,1.1893672214038193,1.3525840560052975e-8,1992,Summer,1992,195,196,3
08052700,326,213,52,0.8759679917398038,16,0.9008854145415881,2.137761965797876e-9,1992,Summer,1992,228,229.5,4
08052700,327,237,0.2,0.311564274651523,3,4.377507880875871e-16,NA,1992,Summer,1992,239,242,7
