gage,threshold,wet_DateTime,q,rewetting_event,weting_subevent,inital_rewetting_rate,p_value_i,rewetting_rate,p_value,sample_rate
2266200,0.25,2004-06-08T23:00:00Z,0.7,76,1,0.7833353516504037,0.22376442425848692,1.2749402593949377,8.160208761776163e-16,1
2266200,0.25,2004-06-11T00:00:00Z,1.5,76,2,0.7833353516504037,0.22376442425848692,1.2749402593949377,8.160208761776163e-16,1
2266200,0.25,2006-12-24T19:00:00Z,0,78,0,0.027485706746951086,0.4470718637173442,0.01726920776003696,0.26838772013083817,1
2266200,0.25,2006-12-27T09:00:00Z,0.1,78,1,0.027485706746951086,0.4470718637173442,0.01726920776003696,0.26838772013083817,1
2266200,0.25,2007-01-04T09:00:00Z,0.2,78,2,0.027485706746951086,0.4470718637173442,0.01726920776003696,0.26838772013083817,1
2266200,0.25,2007-01-26T05:00:00Z,0.4,79,0,3.8712875014207406,8.49795047441569e-122,3.8712875014207406,8.49795047441569e-122,1
2266200,0.25,2007-01-26T15:00:00Z,0.5,79,1,3.8712875014207406,8.49795047441569e-122,3.8712875014207406,8.49795047441569e-122,1
2266200,0.25,2008-08-25T16:00:00Z,0,80,0,1.0657485250405587,2.0546298688037842e-8,1.0657485250405587,2.0546298688037842e-8,0.5
2266200,0.25,2008-08-26T01:00:00Z,0.1,80,1,1.0657485250405587,2.0546298688037842e-8,1.0657485250405587,2.0546298688037842e-8,0.5
2266200,0.25,2009-07-10T05:00:00Z,20.4,81,0,-12.099734769220579,0.6036450565101361,0.16250074835870915,0.9889044733886072,1
2266200,0.25,2009-07-10T13:00:00Z,19.9,81,1,-12.099734769220579,0.6036450565101361,0.16250074835870915,0.9889044733886072,1
2266200,0.25,2009-07-10T19:00:00Z,19.4,81,2,-12.099734769220579,0.6036450565101361,0.16250074835870915,0.9889044733886072,1
2266200,0.25,2009-07-10T21:00:00Z,19.4,81,3,-12.099734769220579,0.6036450565101361,0.16250074835870915,0.9889044733886072,1
2266200,0.25,2009-07-11T01:00:00Z,20.4,81,4,-12.099734769220579,0.6036450565101361,0.16250074835870915,0.9889044733886072,1
2266200,0.25,2009-12-02T09:00:00Z,0,82,0,-0.025892332442780122,0.8395646390968474,-0.02036212313340926,0.5083675158743637,1
2266200,0.25,2009-12-03T17:00:00Z,0.1,82,1,-0.025892332442780122,0.8395646390968474,-0.02036212313340926,0.5083675158743637,1
2266200,0.25,2009-12-07T11:00:00Z,0.2,82,2,-0.025892332442780122,0.8395646390968474,-0.02036212313340926,0.5083675158743637,1
2266200,0.25,2009-12-11T04:00:00Z,0.3,82,3,-0.025892332442780122,0.8395646390968474,-0.02036212313340926,0.5083675158743637,1
2266200,0.25,2011-07-06T15:00:00Z,0,83,0,0.40201278141432367,3.101311339680003e-5,0.09212771471480918,5.416335576923256e-4,1
2266200,0.25,2011-07-08T20:00:00Z,0.1,83,1,0.40201278141432367,3.101311339680003e-5,0.09212771471480918,5.416335576923256e-4,1
2266200,0.25,2011-07-18T15:00:00Z,0.2,83,2,0.40201278141432367,3.101311339680003e-5,0.09212771471480918,5.416335576923256e-4,1
